BenchmarkTable Execution Times
Loading required package: tcltk
    scenario    magnitude unit weight weighted_magnitude      AllParameters
261       51 230471299189   ns      1       230471299189 n=500000\ntype=CPU
262       51 229949489060   ns      1       229949489060 n=500000\ntype=CPU
263       51 230203674715   ns      1       230203674715 n=500000\ntype=CPU
264       51 229711046708   ns      1       229711046708 n=500000\ntype=CPU
265       51 230245515502   ns      1       230245515502 n=500000\ntype=CPU
266       52  97751548453   ns      1        97751548453 n=500000\ntype=GPU
267       52 102183805328   ns      1       102183805328 n=500000\ntype=GPU
268       52  98112471926   ns      1        98112471926 n=500000\ntype=GPU
269       52 100068520407   ns      1       100068520407 n=500000\ntype=GPU
270       52  99972448025   ns      1        99972448025 n=500000\ntype=GPU
BenchmarkTable Average Execution Time avg(magnitude/weight)
   scenario    magnitude unit      AllParameters
1         1   9146513627   ns  n=10000\ntype=CPU
2         2   6850538392   ns  n=10000\ntype=GPU
3         3  13989119998   ns  n=20000\ntype=CPU
4         4   8763355060   ns  n=20000\ntype=GPU
5         5  23220403649   ns  n=40000\ntype=CPU
6         6  11980121396   ns  n=40000\ntype=GPU
7         7  32450338717   ns  n=60000\ntype=CPU
8         8  16011669251   ns  n=60000\ntype=GPU
9         9  41172835992   ns  n=80000\ntype=CPU
10       10  20408054771   ns  n=80000\ntype=GPU
11       11  50046278581   ns n=100000\ntype=CPU
12       12  24811910407   ns n=100000\ntype=GPU
13       13  59130191421   ns n=120000\ntype=CPU
14       14  28051818070   ns n=120000\ntype=GPU
15       15  68016543207   ns n=140000\ntype=CPU
16       16  31976290305   ns n=140000\ntype=GPU
17       17  77653294102   ns n=160000\ntype=CPU
18       18  36053268469   ns n=160000\ntype=GPU
19       19  86046990330   ns n=180000\ntype=CPU
20       20  39938597217   ns n=180000\ntype=GPU
21       21  95682260020   ns n=200000\ntype=CPU
22       22  43566722343   ns n=200000\ntype=GPU
23       23 103974363726   ns n=220000\ntype=CPU
24       24  48072601953   ns n=220000\ntype=GPU
25       25 113269874534   ns n=240000\ntype=CPU
26       26  52057621133   ns n=240000\ntype=GPU
27       27 121987880790   ns n=260000\ntype=CPU
28       28  54795894657   ns n=260000\ntype=GPU
29       29 130668461933   ns n=280000\ntype=CPU
30       30  59599307510   ns n=280000\ntype=GPU
31       31 140045456140   ns n=300000\ntype=CPU
32       32  62641966632   ns n=300000\ntype=GPU
33       33 148467361381   ns n=320000\ntype=CPU
34       34  66819709305   ns n=320000\ntype=GPU
35       35 158106659430   ns n=340000\ntype=CPU
36       36  69946746899   ns n=340000\ntype=GPU
37       37 166516118458   ns n=360000\ntype=CPU
38       38  74059249656   ns n=360000\ntype=GPU
39       39 176107480396   ns n=380000\ntype=CPU
40       40  77966825775   ns n=380000\ntype=GPU
41       41 184443675072   ns n=400000\ntype=CPU
42       42  82474304780   ns n=400000\ntype=GPU
43       43 194055363430   ns n=420000\ntype=CPU
44       44  86444942347   ns n=420000\ntype=GPU
45       45 202491237599   ns n=440000\ntype=CPU
46       46  89981922132   ns n=440000\ntype=GPU
47       47 212097580968   ns n=460000\ntype=CPU
48       48  93599711359   ns n=460000\ntype=GPU
49       49 221395594704   ns n=480000\ntype=CPU
50       50  95959775806   ns n=480000\ntype=GPU
51       51 230116205035   ns n=500000\ntype=CPU
52       52  99617758828   ns n=500000\ntype=GPU
Warnmeldungen:
1: In grid.Call(L_textBounds, as.graphicsAnnot(x$label), x$x, x$y,  :
  unbekannte AFM Entität aufgetreten
2: In grid.Call(L_textBounds, as.graphicsAnnot(x$label), x$x, x$y,  :
  unbekannte AFM Entität aufgetreten
3: In grid.Call(L_textBounds, as.graphicsAnnot(x$label), x$x, x$y,  :
  unbekannte AFM Entität aufgetreten
4: In grid.Call(L_textBounds, as.graphicsAnnot(x$label), x$x, x$y,  :
  unbekannte AFM Entität aufgetreten
Saving 14 x 14 in image
[1] TRUE
Info: Saved Barplot in results/hama/hybrid/piestimator/at.illecker.hama.hybrid.examples.piestimator.PiEstimatorHybridBenchmark.2014-08-14T13:15:37Z.CPU.vs.GPU.oneGPUcore.json_avg_barplot.pdf 
Saving 14 x 14 in image
[1] TRUE
Info: Saved Boxplot in results/hama/hybrid/piestimator/at.illecker.hama.hybrid.examples.piestimator.PiEstimatorHybridBenchmark.2014-08-14T13:15:37Z.CPU.vs.GPU.oneGPUcore.json_boxplot.pdf 
BenchmarkTable Average Execution Time grouped by Scenarios
   scenario   n  magnitude type
1         1  10   9.146514  CPU
2         2  10   6.850538  GPU
3         3  20  13.989120  CPU
4         4  20   8.763355  GPU
5         5  40  23.220404  CPU
6         6  40  11.980121  GPU
7         7  60  32.450339  CPU
8         8  60  16.011669  GPU
9         9  80  41.172836  CPU
10       10  80  20.408055  GPU
11       11 100  50.046279  CPU
12       12 100  24.811910  GPU
13       13 120  59.130191  CPU
14       14 120  28.051818  GPU
15       15 140  68.016543  CPU
16       16 140  31.976290  GPU
17       17 160  77.653294  CPU
18       18 160  36.053268  GPU
19       19 180  86.046990  CPU
20       20 180  39.938597  GPU
21       21 200  95.682260  CPU
22       22 200  43.566722  GPU
23       23 220 103.974364  CPU
24       24 220  48.072602  GPU
25       25 240 113.269875  CPU
26       26 240  52.057621  GPU
27       27 260 121.987881  CPU
28       28 260  54.795895  GPU
29       29 280 130.668462  CPU
30       30 280  59.599308  GPU
31       31 300 140.045456  CPU
32       32 300  62.641967  GPU
33       33 320 148.467361  CPU
34       34 320  66.819709  GPU
35       35 340 158.106659  CPU
36       36 340  69.946747  GPU
37       37 360 166.516118  CPU
38       38 360  74.059250  GPU
39       39 380 176.107480  CPU
40       40 380  77.966826  GPU
41       41 400 184.443675  CPU
42       42 400  82.474305  GPU
43       43 420 194.055363  CPU
44       44 420  86.444942  GPU
45       45 440 202.491238  CPU
46       46 440  89.981922  GPU
47       47 460 212.097581  CPU
48       48 460  93.599711  GPU
49       49 480 221.395595  CPU
50       50 480  95.959776  GPU
51       51 500 230.116205  CPU
52       52 500  99.617759  GPU
Saving 10.5 x 10.5 in image
Info: Saved CPU+GPU GeomLine Plot in results/hama/hybrid/piestimator/at.illecker.hama.hybrid.examples.piestimator.PiEstimatorHybridBenchmark.2014-08-14T13:15:37Z.CPU.vs.GPU.oneGPUcore.json_n_cpu_gpu_geom_line.pdf (normalized magnitude 10^9)
CPU function: y = 5.16144372166113 + 0.449477810518665 * x
GPU function: y = 5.16099046170301 + 0.191745765353337 * x
Saving 10.5 x 10.5 in image
Info: Saved CPU+GPU GeomLine Plot in results/hama/hybrid/piestimator/at.illecker.hama.hybrid.examples.piestimator.PiEstimatorHybridBenchmark.2014-08-14T13:15:37Z.CPU.vs.GPU.oneGPUcore.json_n_cpu_gpu_linear_regression.pdf (normalized magnitude 10^9)
