BenchmarkTable Execution Times
Loading required package: tcltk
    scenario   magnitude unit weight weighted_magnitude      AllParameters
190       40 10338229243   ns      1        10338229243 n=380000\ntype=GPU
191       40  9845098210   ns      1         9845098210 n=380000\ntype=GPU
192       40 11859612173   ns      1        11859612173 n=380000\ntype=GPU
193       40  9846052403   ns      1         9846052403 n=380000\ntype=GPU
194       41 44897538685   ns      1        44897538685 n=400000\ntype=CPU
195       41 41130609328   ns      1        41130609328 n=400000\ntype=CPU
196       41 54114454601   ns      1        54114454601 n=400000\ntype=CPU
197       41 46584695285   ns      1        46584695285 n=400000\ntype=CPU
198       41 44053581813   ns      1        44053581813 n=400000\ntype=CPU
199       42  9860379680   ns      1         9860379680 n=400000\ntype=GPU
200       42  9852522671   ns      1         9852522671 n=400000\ntype=GPU
201       42  9868336933   ns      1         9868336933 n=400000\ntype=GPU
202       42 10068934595   ns      1        10068934595 n=400000\ntype=GPU
203       42  9940964274   ns      1         9940964274 n=400000\ntype=GPU
204       42 12387082640   ns      1        12387082640 n=400000\ntype=GPU
205       43 46190227810   ns      1        46190227810 n=420000\ntype=CPU
206       43 46335499581   ns      1        46335499581 n=420000\ntype=CPU
207       43 51610942185   ns      1        51610942185 n=420000\ntype=CPU
208       43 48032942264   ns      1        48032942264 n=420000\ntype=CPU
209       43 46471177537   ns      1        46471177537 n=420000\ntype=CPU
210       44  9949064451   ns      1         9949064451 n=420000\ntype=GPU
211       44 12387082640   ns      1        12387082640 n=420000\ntype=GPU
212       44 11836371483   ns      1        11836371483 n=420000\ntype=GPU
213       44 11857357231   ns      1        11857357231 n=420000\ntype=GPU
214       44 12394205758   ns      1        12394205758 n=420000\ntype=GPU
215       45 51973754436   ns      1        51973754436 n=440000\ntype=CPU
216       45 47822730475   ns      1        47822730475 n=440000\ntype=CPU
217       45 46443259122   ns      1        46443259122 n=440000\ntype=CPU
218       45 56001708267   ns      1        56001708267 n=440000\ntype=CPU
219       45 47977539533   ns      1        47977539533 n=440000\ntype=CPU
220       46 11887632218   ns      1        11887632218 n=440000\ntype=GPU
221       46 11861653041   ns      1        11861653041 n=440000\ntype=GPU
222       46  9826433944   ns      1         9826433944 n=440000\ntype=GPU
223       46 12352436187   ns      1        12352436187 n=440000\ntype=GPU
224       46 11876354661   ns      1        11876354661 n=440000\ntype=GPU
225       47 50044218232   ns      1        50044218232 n=460000\ntype=CPU
226       47 53978729314   ns      1        53978729314 n=460000\ntype=CPU
227       48 11927085006   ns      1        11927085006 n=460000\ntype=GPU
228       48 11877352555   ns      1        11877352555 n=460000\ntype=GPU
229       48 12352257104   ns      1        12352257104 n=460000\ntype=GPU
230       48 11900031801   ns      1        11900031801 n=460000\ntype=GPU
231       48 11853678950   ns      1        11853678950 n=460000\ntype=GPU
232       49 50127292253   ns      1        50127292253 n=480000\ntype=CPU
233       49 53978729314   ns      1        53978729314 n=480000\ntype=CPU
234       49 56349570810   ns      1        56349570810 n=480000\ntype=CPU
235       49 52092128181   ns      1        52092128181 n=480000\ntype=CPU
236       49 56436959298   ns      1        56436959298 n=480000\ntype=CPU
237       50 12430181751   ns      1        12430181751 n=480000\ntype=GPU
238       50 11886569099   ns      1        11886569099 n=480000\ntype=GPU
239       50 11822523813   ns      1        11822523813 n=480000\ntype=GPU
240       50 11922499932   ns      1        11922499932 n=480000\ntype=GPU
241       50 12374657872   ns      1        12374657872 n=480000\ntype=GPU
242       51 52216844375   ns      1        52216844375 n=500000\ntype=CPU
243       51 53871296052   ns      1        53871296052 n=500000\ntype=CPU
244       51 56000125681   ns      1        56000125681 n=500000\ntype=CPU
245       51 53971965508   ns      1        53971965508 n=500000\ntype=CPU
246       51 53987575071   ns      1        53987575071 n=500000\ntype=CPU
247       52 11908244672   ns      1        11908244672 n=500000\ntype=GPU
248       52 12882213373   ns      1        12882213373 n=500000\ntype=GPU
249       52 11849746030   ns      1        11849746030 n=500000\ntype=GPU
250       52 11873173220   ns      1        11873173220 n=500000\ntype=GPU
251       52 11855641704   ns      1        11855641704 n=500000\ntype=GPU
BenchmarkTable Average Execution Time avg(magnitude/weight)
   scenario   magnitude unit      AllParameters
1         1 19730234422   ns  n=10000\ntype=CPU
2         2  4777047847   ns  n=10000\ntype=GPU
3         3 20344963884   ns  n=20000\ntype=CPU
4         4  6065214549   ns  n=20000\ntype=GPU
5         5 22113943456   ns  n=40000\ntype=CPU
6         6  5949290245   ns  n=40000\ntype=GPU
7         7 23334353166   ns  n=60000\ntype=CPU
8         8  6059252189   ns  n=60000\ntype=GPU
9         9 23974998071   ns  n=80000\ntype=CPU
10       10  5965838931   ns  n=80000\ntype=GPU
11       11 26098615283   ns n=100000\ntype=CPU
12       12  5966534542   ns n=100000\ntype=GPU
13       13 28455719133   ns n=120000\ntype=CPU
14       14  6870115372   ns n=120000\ntype=GPU
15       15 29605275064   ns n=140000\ntype=CPU
16       16  7156143741   ns n=140000\ntype=GPU
17       17 29792384808   ns n=160000\ntype=CPU
18       18  7956617823   ns n=160000\ntype=GPU
19       19 30420934137   ns n=180000\ntype=CPU
20       20  8081227654   ns n=180000\ntype=GPU
21       21 31247371319   ns n=200000\ntype=CPU
22       22  8025451215   ns n=200000\ntype=GPU
23       23 31646382185   ns n=220000\ntype=CPU
24       24  8047492955   ns n=220000\ntype=GPU
25       25 33362643179   ns n=240000\ntype=CPU
26       26  8010018027   ns n=240000\ntype=GPU
27       27 36764401664   ns n=260000\ntype=CPU
28       28  9777514533   ns n=260000\ntype=GPU
29       29 38083500859   ns n=280000\ntype=CPU
30       30  9981994731   ns n=280000\ntype=GPU
31       31 39259025329   ns n=300000\ntype=CPU
32       32  9951765233   ns n=300000\ntype=GPU
33       33 39503200573   ns n=320000\ntype=CPU
34       34  9868991537   ns n=320000\ntype=GPU
35       35 40871391541   ns n=340000\ntype=CPU
36       36  9960882206   ns n=340000\ntype=GPU
37       37 42679175618   ns n=360000\ntype=CPU
38       38 10365339345   ns n=360000\ntype=GPU
39       39 45290588115   ns n=380000\ntype=CPU
40       40 10350176205   ns n=380000\ntype=GPU
41       41 46156175942   ns n=400000\ntype=CPU
42       42 10329703466   ns n=400000\ntype=GPU
43       43 47728157875   ns n=420000\ntype=CPU
44       44 11684816313   ns n=420000\ntype=GPU
45       45 50043798367   ns n=440000\ntype=CPU
46       46 11560902010   ns n=440000\ntype=GPU
47       47 52011473773   ns n=460000\ntype=CPU
48       48 11982081083   ns n=460000\ntype=GPU
49       49 53796935971   ns n=480000\ntype=CPU
50       50 12087286493   ns n=480000\ntype=GPU
51       51 54009561337   ns n=500000\ntype=CPU
52       52 12073803800   ns n=500000\ntype=GPU
Saving 14 x 14 in image
